YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1936,-32.30,-30.14,-30.96,-20.78,-9.51,1.63,4.54,2.96,0.75,-8.77,-18.63,-24.25,-30.22,-20.42,3.04,-8.88,-14.12
1937,-28.67,-27.30,-29.87,-20.89,-7.85,-0.09,2.71,3.51,-1.42,-9.58,-18.94,-22.52,-26.74,-19.54,2.04,-9.98,-13.55
1938,-25.59,-29.99,-29.20,-18.25,-12.24,-0.11,3.48,4.20,1.26,-8.46,-15.76,-23.11,-26.03,-19.90,2.52,-7.65,-12.76
1939,-31.85,-29.11,999.90,-25.07,-11.82,-1.25,1.84,2.47,-0.57,-9.42,-21.62,-26.82,-28.02,-22.76,1.02,-10.54,-15.07
1940,-23.70,-27.64,-25.85,-18.72,-7.59,0.32,4.60,3.08,-2.26,-11.68,-21.57,-28.11,-26.05,-17.39,2.67,-11.84,-13.15
1941,-32.97,-32.81,-29.97,-22.18,-10.71,-2.36,4.28,2.12,-1.29,-9.97,-24.35,-25.69,-31.30,-20.95,1.35,-11.87,-15.69
1942,-28.18,-29.43,-32.13,-20.24,-8.98,-1.14,1.87,2.16,-1.10,-10.41,-22.18,-26.25,-27.77,-20.45,0.96,-11.23,-14.62
1943,-29.43,-27.29,-23.22,-14.06,-5.86,-0.10,1.71,2.89,-0.93,-6.74,-17.44,-26.97,-27.66,-14.38,1.50,-8.37,-12.23
1944,-27.48,-32.27,-26.72,-20.72,-7.33,-0.40,1.76,1.39,-0.79,-9.89,-18.34,-24.44,-28.91,-18.26,0.92,-9.67,-13.98
1945,-30.85,-29.40,-30.80,-19.58,-6.78,0.54,3.05,4.50,-1.39,-9.19,-22.58,-25.54,-28.23,-19.05,2.70,-11.05,-13.91
1946,-30.03,-31.35,-28.73,-20.62,-9.07,-0.78,2.82,0.30,-3.37,-14.13,-23.48,-28.76,-28.97,-19.47,0.78,-13.66,-15.33
1947,-30.41,-27.13,-26.65,-18.55,-8.61,0.21,3.43,2.29,0.36,-5.00,-17.77,-26.69,-28.77,-17.94,1.98,-7.47,-13.05
1948,-31.06,-28.77,-26.48,-21.44,-9.47,-0.68,1.21,1.82,-6.28,-13.71,-24.23,-29.61,-28.84,-19.13,0.78,-14.74,-15.48
1949,-32.52,-29.81,-22.33,-19.57,-10.97,-2.78,1.66,-0.34,-1.25,-12.49,-24.09,-22.07,-30.65,-17.62,-0.49,-12.61,-15.34
1950,-28.49,-31.70,-29.74,-23.67,-11.42,-0.03,2.36,1.25,-2.79,-13.69,-26.58,-27.24,-27.42,-21.61,1.19,-14.35,-15.55
1951,-32.80,-33.49,-26.26,-22.77,-8.46,0.54,2.94,2.47,0.12,-9.37,-22.23,-28.34,-31.18,-19.16,1.98,-10.49,-14.71
1952,-30.55,-29.61,-28.13,-20.58,-10.51,-0.53,5.25,3.94,1.22,-9.77,-20.91,-26.62,-29.50,-19.74,2.89,-9.82,-14.04
1953,-28.02,-32.31,-26.97,-20.31,-6.47,0.47,3.92,3.86,0.04,-9.83,-21.38,-28.44,-28.98,-17.92,2.75,-10.39,-13.63
1954,-31.84,-31.90,-30.81,-17.85,-9.05,-0.33,2.02,0.52,-1.99,-8.74,-20.47,-24.46,-30.73,-19.24,0.74,-10.40,-14.91
1955,-26.36,-32.37,-28.40,-24.38,-11.28,0.20,2.59,2.11,-3.17,-12.38,-26.35,-27.74,-27.73,-21.35,1.63,-13.97,-15.35
1956,-29.40,-28.13,-26.39,-24.13,-10.39,0.02,1.39,0.64,-2.02,-15.60,-20.44,-25.47,-28.42,-20.30,0.68,-12.69,-15.18
1957,-28.57,-30.18,-28.85,-20.28,-9.03,0.62,1.43,-0.01,-4.89,-13.99,-23.63,-33.30,-28.07,-19.39,0.68,-14.17,-15.24
1958,-31.75,-32.65,-27.52,-22.54,-12.02,-0.78,2.29,4.01,-1.67,-12.01,-27.41,-26.17,-32.57,-20.69,1.84,-13.70,-16.28
1959,-29.56,-28.60,-24.94,-18.76,-7.24,0.82,2.36,1.21,-1.37,-11.89,-18.36,-28.73,-28.11,-16.98,1.46,-10.54,-13.54
1960,-26.70,-30.91,-29.60,-20.02,-8.63,1.20,5.28,2.99,-2.00,-12.96,-22.58,-23.72,-28.78,-19.42,3.16,-12.51,-14.39
1961,-31.86,-30.05,-31.67,-21.86,-11.06,1.86,3.77,0.58,-2.51,-10.70,-20.78,-27.57,-28.54,-21.53,2.07,-11.33,-14.83
1962,-31.51,-31.31,-25.58,-19.37,-11.22,-3.22,0.59,-0.74,-6.50,-15.86,-21.59,-30.08,-30.13,-18.72,-1.12,-14.65,-16.16
1963,-32.43,-31.92,-31.39,-22.84,-10.13,-1.19,1.74,-0.14,-4.79,-16.22,-26.16,-27.63,-31.48,-21.45,0.14,-15.72,-17.13
1964,-34.23,-26.69,-31.42,-21.17,-12.18,0.29,2.43,3.01,-3.98,-14.05,-25.89,-26.20,-29.52,-21.59,1.91,-14.64,-15.96
1965,-32.49,-31.72,-30.40,-21.43,-12.38,-0.71,5.94,2.66,-2.81,-13.66,-19.46,-31.33,-30.14,-21.40,2.63,-11.98,-15.22
1966,-35.55,-30.66,-31.58,-22.81,-10.75,-1.91,1.81,3.17,-2.64,-15.28,-17.95,-23.40,-32.51,-21.71,1.02,-11.96,-16.29
1967,-34.52,-35.30,-27.33,-20.39,-8.71,-0.55,1.68,0.62,-0.63,-7.12,-19.28,-27.13,-31.07,-18.81,0.58,-9.01,-14.58
1968,-27.79,-31.09,-26.70,-19.75,-9.67,2.02,4.43,3.93,0.13,-10.24,-23.17,-31.05,-28.67,-18.71,3.46,-11.09,-13.75
1969,-26.85,-31.36,-29.80,-22.19,-8.03,2.14,2.73,2.67,-2.75,-14.75,-25.46,-25.46,-29.75,-20.01,2.51,-14.32,-15.39
1970,-27.91,-28.61,-26.69,-24.28,-9.58,-1.02,3.12,0.99,-2.28,-13.54,-23.85,-27.08,-27.33,-20.18,1.03,-13.22,-14.93
1971,-32.73,-25.05,-28.57,-21.10,-8.19,1.00,5.68,5.86,1.89,-10.36,-21.78,-26.15,-28.29,-19.29,4.18,-10.08,-13.37
1972,-33.53,-31.05,-26.09,-19.09,-6.46,-2.07,2.77,-0.13,-3.06,-12.83,-26.49,-28.93,-30.24,-17.21,0.19,-14.13,-15.35
1973,-31.77,-34.09,-26.42,-18.92,-8.63,-0.10,2.78,2.37,-2.00,-12.98,-23.20,-28.62,-31.60,-17.99,1.68,-12.73,-15.16
1974,-29.20,-34.43,-25.99,-19.00,-8.54,-1.73,4.51,1.91,-2.20,-10.42,-24.07,-28.10,-30.75,-17.84,1.56,-12.23,-14.81
1975,-29.13,-29.54,-26.47,-19.67,-9.24,-2.03,2.40,1.32,-1.26,-12.76,-22.28,-22.29,-28.92,-18.46,0.56,-12.10,-14.73
1976,-28.67,-33.14,-26.82,999.90,-11.42,0.08,2.52,1.55,-0.73,-13.20,-24.60,999.90,-28.03,-19.79,1.38,-12.84,-14.82
1977,-26.15,-31.20,-31.01,-22.03,-6.89,1.67,5.06,3.19,-1.86,-13.96,-26.02,-30.19,-27.67,-19.98,3.31,-13.95,-14.57
1978,-31.12,-33.34,-26.98,-22.36,-10.28,-0.57,1.79,2.74,-4.39,-12.85,-21.22,-29.41,-31.55,-19.87,1.32,-12.82,-15.73
1979,-32.42,-35.50,-29.15,-25.00,-9.97,-2.02,1.29,1.01,-4.18,-17.35,-27.97,-29.18,-32.44,-21.37,0.09,-16.50,-17.56
1980,-29.25,-30.36,-29.77,-23.28,-9.16,0.54,3.77,1.88,-1.39,-12.06,-24.95,-26.37,-29.60,-20.74,2.06,-12.80,-15.27
1981,-25.05,-27.54,-24.81,-18.12,-8.62,-0.31,2.43,1.48,-1.12,-8.42,-18.36,-26.39,-26.32,-17.18,1.20,-9.30,-12.90
1982,-32.42,-27.80,-29.28,-22.41,-12.10,-1.78,3.58,2.59,-0.19,-10.90,-23.53,-28.45,-28.87,-21.26,1.46,-11.54,-15.05
1983,-29.11,-29.25,-26.41,-22.83,-8.73,-1.47,2.26,3.18,-1.60,-13.15,-23.99,-26.73,-28.94,-19.32,1.32,-12.91,-14.96
1984,-24.49,-32.25,-28.17,-24.72,-11.53,-1.20,2.43,0.04,-2.57,-11.32,-22.04,-27.02,-27.82,-21.47,0.42,-11.98,-15.21
1985,-28.16,-28.66,-30.17,-22.89,-10.25,-0.29,3.48,0.63,-1.11,-13.97,-20.72,-24.79,-27.95,-21.10,1.27,-11.93,-14.93
1986,-32.51,-28.83,-28.09,-20.33,-9.00,-0.99,1.24,-0.07,-4.20,-11.98,-22.21,-30.19,-28.71,-19.14,0.06,-12.80,-15.15
1987,-28.89,-34.19,-30.55,-20.15,-10.97,0.64,3.57,1.58,-4.29,-14.47,-25.43,-30.76,-31.09,-20.56,1.93,-14.73,-16.11
1988,-31.36,-28.77,-28.08,-20.63,-9.13,0.18,4.34,0.46,-1.20,-12.11,-22.38,-24.40,-30.30,-19.28,1.66,-11.90,-14.95
1989,-31.39,-27.07,-25.98,-22.22,-10.23,-1.64,1.09,1.02,-1.44,-14.19,-26.24,-24.87,-27.62,-19.48,0.16,-13.96,-15.22
1990,-28.90,-31.30,-23.58,-19.65,-4.64,0.81,1.87,4.46,-0.31,-12.77,-24.84,-30.92,-28.36,-15.96,2.38,-12.64,-13.64
1991,-28.23,-30.53,-28.53,-20.81,-6.19,-0.93,7.66,5.12,1.11,-10.98,-20.45,-23.55,-29.89,-18.51,3.95,-10.11,-13.64
1992,-33.17,-30.28,-27.94,-20.92,-9.64,-1.93,1.31,-1.36,-4.59,-16.93,-26.43,-28.31,-29.00,-19.50,-0.66,-15.98,-16.29
1993,-30.52,-29.54,-28.79,-19.48,-7.75,0.14,2.27,0.54,-2.15,-13.65,-25.13,-34.24,-29.46,-18.67,0.98,-13.64,-15.20
1994,-26.50,-26.86,-28.26,-23.71,-9.48,0.29,3.25,0.62,-0.97,-8.16,-21.03,-27.63,-29.20,-20.48,1.39,-10.05,-14.59
1995,-31.41,-25.36,-29.45,-19.07,-8.46,1.31,3.61,4.79,1.87,-7.36,-18.98,-24.62,-28.13,-18.99,3.24,-8.16,-13.01
1996,-30.07,-28.90,-28.21,-21.68,-9.77,-3.02,0.80,1.94,-6.04,-12.99,-23.21,-30.05,-27.86,-19.89,-0.09,-14.08,-15.48
1997,-30.20,-29.10,-27.16,-17.81,-9.40,-0.29,6.13,1.49,-1.19,-8.36,-23.54,-31.75,-29.78,-18.12,2.44,-11.03,-14.12
1998,-27.04,-31.76,-30.24,-20.09,-11.07,-0.61,2.64,0.14,-2.14,-14.12,-20.61,-27.24,-30.18,-20.47,0.72,-12.29,-15.55
1999,-30.61,-32.58,-31.15,-23.38,-9.19,1.43,4.75,3.52,-0.82,-10.52,-24.53,-27.33,-30.14,-21.24,3.23,-11.96,-15.03
2000,-31.38,-28.06,-27.58,-18.47,-9.09,-0.77,2.71,1.43,-1.01,-11.37,-21.53,-25.82,-28.92,-18.38,1.12,-11.30,-14.37
2001,999.90,-28.80,-28.49,-20.88,-9.66,-2.03,3.54,0.88,-4.58,-13.08,-20.65,-28.00,-27.75,-19.68,0.80,-12.77,-14.85
2002,-32.38,-36.19,-23.39,-21.59,-9.68,0.10,3.04,4.06,-1.03,-8.22,-17.77,-25.71,-32.19,-18.22,2.40,-9.01,-14.25
2003,999.90,-30.18,-23.62,-20.70,-6.79,-0.75,3.31,1.82,0.54,-8.23,-21.55,-24.10,-28.38,-17.04,1.46,-9.75,-13.43
2004,-29.27,-31.23,-27.78,-19.27,-8.66,-0.78,0.75,2.77,-1.45,-12.46,-22.79,-28.58,-28.20,-18.57,0.91,-12.23,-14.52
2005,-29.40,-28.67,-27.33,-19.91,-8.00,1.94,5.51,2.95,0.69,-6.64,-17.73,-24.56,-28.88,-18.41,3.47,-7.89,-12.93
2006,-25.98,-27.31,-27.53,-22.59,-9.40,0.54,2.85,2.30,-1.64,-10.02,-18.45,-25.16,-25.95,-19.84,1.90,-10.04,-13.48
2007,-30.53,-28.25,-26.81,-13.64,-6.18,0.71,4.13,5.36,2.06,-7.62,-16.54,-23.69,-27.98,-15.54,3.40,-7.37,-11.87
2008,-28.39,-30.73,-25.34,-20.59,-6.19,-1.62,1.92,5.49,-0.73,-7.40,-21.23,-26.55,-27.60,-17.37,1.93,-9.79,-13.21
2009,-25.76,-32.58,-27.91,-19.14,-8.39,-0.06,2.37,3.03,-0.78,-8.96,-16.95,-24.54,-28.30,-18.48,1.78,-8.90,-13.47
2010,-28.54,-27.41,-26.09,-17.10,-5.21,0.76,5.43,5.16,1.32,-7.10,-16.84,-25.09,-26.83,-16.13,3.78,-7.54,-11.68
2011,-25.95,-28.45,-20.69,-15.70,-7.64,1.09,5.56,4.46,-0.09,-5.96,-19.00,-25.10,-26.50,-14.68,3.70,-8.35,-11.45
2012,-26.94,-26.97,-28.38,-17.48,-6.40,1.12,3.94,3.90,0.69,-6.95,-15.21,-25.57,-26.34,-17.42,2.99,-7.16,-11.98
2013,-27.85,-33.98,-27.00,-16.04,-7.30,-0.10,3.65,3.19,-0.78,-9.03,-19.74,-22.81,-29.13,-16.78,2.25,-9.85,-13.38
2014,-27.69,-24.55,-22.79,-13.55,-7.00,0.00,4.53,5.01,0.55,-7.29,-21.80,-26.45,-25.02,-14.45,3.18,-9.51,-11.45
2015,-29.64,-26.84,-24.40,-19.55,-9.25,0.90,4.30,2.70,0.55,-7.10,-18.90,-27.35,-27.64,-17.73,2.63,-8.48,-12.81
2016,-25.05,-26.50,-27.60,-18.20,-6.15,1.25,2.10,2.40,0.45,-5.25,-14.90,-25.20,-26.30,-17.32,1.92,-6.57,-12.07
2017,-26.40,-27.15,-19.50,-14.35,-8.80,-0.30,1.20,2.05,-1.35,-10.50,-17.35,-23.60,-26.25,-14.22,0.98,-9.73,-12.30
2018,-27.85,-22.65,-28.50,-14.95,-7.85,2.30,3.75,6.25,1.90,-3.45,-18.66,-23.70,-24.70,-17.10,4.10,-6.74,-11.11
2019,-29.45,-30.60,-24.10,-14.50,-7.05,5.85,4.30,6.30,1.60,-4.39,-17.25,-24.10,-27.92,-15.22,5.48,-6.68,-11.08
2020,-28.05,-24.55,-23.95,-15.45,-4.79,1.87,5.08,3.07,4.13,-3.14,-12.30,-21.01,-25.57,-14.73,3.34,-3.77,-10.18
2021,-27.90,-24.55,999.90,-18.62,-5.45,2.94,4.75,4.80,0.70,-8.37,-18.00,-26.85,-24.49,-16.35,4.16,-8.56,-11.31
2022,-24.72,-23.90,-23.15,-19.30,-6.75,0.85,3.85,4.10,0.80,-5.75,-20.00,-24.45,-25.16,-16.40,2.93,-8.32,-11.73
2023,-30.30,-28.40,-27.60,-19.00,-9.05,1.20,1.90,4.30,0.95,-6.60,-18.35,-22.35,-27.72,-18.55,2.47,-8.00,-12.95
2024,-26.00,999.90,-21.35,999.90,-5.90,4.55,4.98,2.85,0.65,-7.25,-17.65,-21.50,-24.74,-14.30,4.13,-8.08,-10.75
2025,-28.10,-25.25,-25.55,-17.20,-6.35,-0.40,5.45,3.00,999.90,999.90,999.90,999.90,-24.95,-16.37,2.68,999.90,-11.86
